,location_id,location_code,1995,gdp_over_exports,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
0,52,CRI,20000000000.0,18.204061227757983,926247,17093131,25573,0,5948,117027,1843023,8526,360966,423907,139727,0,1382509,70103,832612,328955,464397,3840,25941,218606,152980,5375415,15543107,16974337,5091222,37030013,171072,189265,1845305,225055,221511,829355818,97718,137183,1621,3100225,124625208,0,0,0,0,19090,0,7811,15659,182557,0,0,0,0,0,0,14232114,0,26269,82058,13071,11922,9714,240682,5722,3789175,319494,0,962624,6299269,7082257,0,0,0,32589,0,99236,456157,360377
1,64,DNK,265000000000.0,140.77754067457727,115185310,24834313,16320542,46505,129289150,74827224,207781792,230918377,45247315,668957,24665754,1762536,30292478,63898922,10548707,17148121,3809516,7504383,50311813,56779980,7587152,161327309,256407469,8842305,30949898,529562,5651319,534281,24142622,703500,186101,2248400,1286481,505955,56122,3662745,5114066,11858,2846,22618,87619427,91590,433504,622678,779675,1033330,933450,6870,340806,54898,495036,340750,8566347,370506,1706585,24301628,1377876,4046936,6319123,5393492,8611239,8016717,911946,16127787,50772790,14023247,3462727,286316,606803,513982,6053590,1149549,171411,2828520,2417104
2,121,KOR,592000000000.0,105.60451905712125,88242690,16655943,37914682,107979,14632630,8693986,8361655,381152,3664181,120118,18297021,617844,628632455,125922837,107454075,179503362,175939451,6455000,81937833,2983610,19276222,134880741,120024542,86701176,1953982,830816,18159358,477568,54925622,1340947,27174,635681,12644117,119521,0,75125676,10390296,351051,44459,0,853439472,80934698,26637348,18422165,7045902,504697,1320359,686228,169447,863172,1277420,13229212,72665055,194669,29558546,135581995,522073940,24910921,56410840,226945421,32850201,255234050,6873589,13891659,61011399,614478215,433474968,353204,24727940,1052661,23977309,847798,6541861,5375573,7831323
3,23,BGR,37900000000.0,163.76777539323064,768448,22486488,4308325,0,7319400,1722826,842140,162775,1335633,0,486126,63977,1140739,3864174,536252,1939503,2830107,0,492025,48899,235854,828488,5066400,18817160,9755583,1665366,2986843,26969,7125375,116883,25692,736397,6971,90072,40433,1642005,4916241,0,0,0,9490945,2428334,14482,467127,621634,530329,908022,12633,0,201829,102627,1610362,32598718,38865,2946995,1362071,21666486,1120423,779858,2317333,58676,29897754,13667,766665,5160215,4368083,924369,88430,254148,2819618,1226176,2005153,67621,54355,70688
4,205,SUR,2480000000.0,89.47526939632623,0,0,15490,0,8727,0,0,0,6871,0,0,0,13583,39045,17770,0,0,0,16695,4612,0,20300,9895,2163649,21603,110095,76589,232640,11494,6406,3090,24605586,0,0,0,6670,158496,0,0,0,0,0,0,0,0,22808,0,0,0,0,0,0,45114,0,0,0,0,0,0,0,12931,0,0,0,14510,0,0,2677,1011,0,7466,0,0,25679,35654
5,110,ISR,146000000000.0,146.79221497823644,535867,807646,1922428,0,7929097,3524724,8812039,12843425,19152959,0,127021,153868,3649974,2306079,5249080,2311136,5659031,1314481,2810149,1399561,3400806,23626984,65920197,32784203,10076065,919819,8315218,251753,32915655,92539146,79293436,912766,162715,14225428,70946,1404218,104445826,0,0,0,684010,280181,8557,0,610704,223996,950480,0,22902,332036,3194348,1422936,9749207,9758898,132500636,10785413,21777715,125590713,22535989,8530984,32321215,631657,43760,143519,15425179,2403791,2931046,290334,1045,188191,31237462,300254,58586,7109914,783750
6,169,PAN,13600000000.0,26.58563947595889,20407,1589866,2023540,0,161673,27132,129637,566501,6744,11006,30577,60045,1720095,576190,832205,121079,3269,181193,6607029,159639,182488,807627,1512453,1816520,21940,415291,32245,0,394752,4860,6620,472455092,20772,0,0,6674,7342387,0,0,0,37595,74877,0,0,10155,0,21845,93446,0,0,0,4129,1863885,4504,19448,50430,62785,3570995,363910,577019,2671026,51602,9860,0,254938,462466,549431,3831,539892,48427,36192,83843,1841,68484,169964
7,65,DOM,26600000000.0,87.4449016578199,166584,0,232014,0,14909,46759,0,0,0,0,0,41586,213771,10885,75601,303727,151289,0,3605,48509,4018,2065897,1609067,4212896,4166308,9315864,3042,0,12852302,5063609,547069,49533267,0,0,0,9098044,20027714,7660,0,0,0,0,0,0,0,0,0,0,0,0,0,2638864,740769,0,0,0,66624,0,1868,3033,1190,179988586,885379,21564,24878,0,2797,0,0,0,0,0,0,0,0
8,135,MDA,4510000000.0,51.2944828086484,51032,12089486,73590,0,148769,654262,915935,4479,89636,6290020,180069,29496,137141,36661,76313,0,15064,0,23677,26562,0,620238,2238725,3485086,1420825,13130,12299,0,21914513,8756,3096,0,19112761,3580482,0,3717118,4554069,0,0,0,110526,0,0,0,0,1606787,133863,0,0,2802,0,0,1817850,0,0,29986,15766,1568161,0,0,0,192130,4358,17707,571163,0,184562,79020,0,13249,5391,41112,0,4613,1350
9,91,GRD,491000000.0,139.56654780296387,0,12421,0,0,0,0,0,0,0,0,0,0,39733,4999,0,0,0,0,0,0,0,37214,3183,93468,4730,7771,0,0,0,0,3711,2660427,14654,1198,0,1446,567977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
