label,producto_code,initialVolume,b,t0
p0,101,1081661353,82244880.85429548,1995
p1,102,5404524659,117415529.13038848,1995
p2,103,1641630793,129595936.51320198,1995
p3,104,910812886,31780892.362240802,1995
p4,105,931577106,90944010.28982459,1995
p5,106,389050323,35314838.53016672,1995
p6,201,9765071758,498299210.3521195,1995
p7,202,5364255186,665611297.9298558,1995
p8,203,10744471852,844857149.6402346,1995
p9,204,2016577465,189768809.9395029,1995
p10,205,382289752,3247900.234251681,1995
p11,206,1733493262,232230849.77588537,1995
p12,207,7921546776,758406170.6812253,1995
p13,208,602960810,9579395.105588658,1995
p14,209,137998164,30590617.24953422,1995
p15,210,1627328312,146668657.70420372,1995
p16,301,1263324896,30700641.085393727,1995
p17,302,5792778525,566796947.1670177,1995
p18,303,8399394978,644381567.9139919,1995
p19,304,5776990367,740876007.4839883,1995
p20,305,2568695562,150463878.6696727,1995
p21,306,12116971771,434380903.13264835,1995
p22,307,4877207885,255219709.5813794,1995
p23,401,3155878299,248876280.41181245,1995
p24,402,8722069551,468911906.413465,1995
p25,403,993903232,167057809.6031046,1995
p26,404,878793393,173120874.4049042,1995
p27,405,3723244198,176986389.44300255,1995
p28,406,10617426151,855264467.7305071,1995
p29,407,955618625,135175469.43332386,1995
p30,408,262448771,36327703.032461576,1995
p31,409,386089630,69298469.75768177,1995
p32,410,132279930,17594933.07567978,1995
p33,501,9447774,5611426.7900368795,1995
p34,502,137873826,831696.818250169,1995
p35,503,24381508,-1211736.8946945146,1995
p36,504,1309927338,150242957.78422585,1995
p37,505,891087655,29393359.67515947,1995
p38,506,228314645,2755258.785904741,1995
p39,507,118725750,362959.51714268135,1995
p40,508,131227456,777282.1186294705,1995
p41,509,16195797,-754321.771320363,1995
p42,510,132802649,3607479.9876368046,1995
p43,511,816261345,76635070.99373408,1995
p44,601,800500470,43743216.17788619,1995
p45,602,3076494745,264611812.51981494,1995
p46,603,3714396654,202707908.16917765,1995
p47,604,583613096,34859115.8005453,1995
p48,701,2371400364,72931634.83128718,1995
p49,702,2667032896,290209645.93831015,1995
p50,703,1644193770,206246696.66438454,1995
p51,704,888269760,90141219.97381973,1995
p52,705,941441376,79841750.06840712,1995
p53,706,531071484,57232497.13104072,1995
p54,707,899004010,71155788.9611788,1995
p55,708,422639475,49324840.81080992,1995
p56,709,3670524434,447409358.99928504,1995
p57,710,2075220124,199473663.71738204,1995
p58,711,504913442,6976649.596652226,1995
p59,712,1191426481,115990837.41098045,1995
p60,713,2691052165,311626450.67500305,1995
p61,714,655801964,79241551.94195874,1995
p62,801,1084753700,239516251.2640942,1995
p63,802,3200414555,562974047.9313216,1995
p64,803,5659486042,323919369.89426905,1995
