,location_id,location_code,1995
0,116,KEN,24500000000.0
1,224,TUR,459000000000.0
2,239,VNM,47800000000.0
3,122,KWT,67500000000.0
4,219,TKM,9220000000.0
5,35,BTN,531000000.0
6,143,MMR,11800000000.0
7,226,TZA,14400000000.0
8,230,URY,27400000000.0
9,145,MNG,3430000000.0
10,87,GMB,900000000.0
11,128,LKA,27800000000.0
12,71,ESP,968000000000.0
13,166,NZL,101000000000.0
14,69,ERI,1370000000.0
15,242,WSM,443000000.0
16,159,NGA,151000000000.0
17,213,TCA,2051500000.0
18,63,DMA,357000000.0
19,146,MNP,3570000000.0
20,59,CZE,146000000000.0
21,207,SVN,31100000000.0
22,177,POL,268000000000.0
23,160,NIC,5460000000.0
24,23,BGR,37900000000.0
25,89,GNQ,734000000.0
26,110,ISR,146000000000.0
27,124,LBN,20800000000.0
28,72,EST,10900000000.0
29,187,RWA,1990000000.0
30,121,KOR,592000000000.0
31,211,SYC,633000000.0
32,15,AUT,297000000000.0
33,223,TUN,23800000000.0
34,216,THA,222000000000.0
35,93,GTM,24800000000.0
36,142,MLT,5130000000.0
37,65,DOM,26600000000.0
38,192,SGP,112000000000.0
39,0,ABW,2170000000.0
40,228,UKR,88900000000.0
41,138,MEX,755000000000.0
42,4,ALB,5920000000.0
43,114,JPN,36150000000.0
44,19,BEN,5320000000.0
45,104,IND,699000000000.0
46,5,AND,2180000000.0
47,2,AGO,30600000000.0
48,107,IRN,288000000000.0
49,174,PHL,116000000000.0
50,169,PAN,13600000000.0
51,52,CRI,20000000000.0
52,176,PNG,10500000000.0
53,137,MDV,1260000000.0
54,125,LBR,14243333333.333332
55,41,CHE,448000000000.0
56,185,ROU,116000000000.0
57,13,ATG,820000000.0
58,75,FJI,2540000000.0
59,214,TCD,3470000000.0
60,92,GRL,1520000000.0
61,215,TGO,2420000000.0
62,67,ECU,44800000000.0
63,151,MUS,5400000000.0
64,148,MRT,3950000000.0
65,140,MKD,6140000000.0
66,77,FRA,1787666666.6666665
67,91,GRD,491000000.0
68,205,SUR,2480000000.0
69,103,IDN,471000000000.0
70,43,CHN,71800000000.0
71,96,GUY,2560000000.0
72,26,BIH,6300000000.0
73,106,IRL,115000000000.0
74,139,MHL,144000000.0
75,61,DEU,97452333333.33334
76,83,GHA,15600000000.0
77,82,GEO,5580000000.0
78,208,SWE,340000000000.0
79,232,UZB,20300000000.0
80,119,KIR,128000000.0
81,203,STP,9920000000.0
82,8,ARG,282000000000.0
83,29,BLZ,724000000.0
84,14,AUS,715000000000.0
85,164,NPL,9080000000.0
86,80,GAB,12800000000.0
87,28,BLR,21200000000.0
88,130,LTU,20300000000.0
89,39,CAN,224690000000.0
90,147,MOZ,3710000000.0
91,22,BGD,55300000000.0
92,85,GIN,4350000000.0
93,165,NRU,55040000000.0
94,167,OMN,36400000000.0
95,168,PAK,104000000000.0
96,90,GRC,214000000000.0
97,236,VEN,278000000000.0
98,220,TLS,4765000000.0
99,16,AZE,9620000000.0
100,134,MAR,52900000000.0
101,73,ETH,11800000000.0
102,126,LBY,7686666666.666666
103,30,BMU,4830000000.0
104,190,SDN,26900000000.0
105,197,SLV,14300000000.0
106,247,ZMB,8790000000.0
107,7,ARE,160000000000.0
108,163,NOR,322000000000.0
109,113,JOR,12900000000.0
110,173,PER,77600000000.0
111,246,ZAF,243000000000.0
112,152,MWI,3880000000.0
113,111,ITA,79300000000.0
114,132,LVA,13100000000.0
115,240,VUT,462000000.0
116,31,BOL,11900000000.0
117,33,BRB,3710000000.0
118,183,QAT,60395000000.0
119,21,BFA,4550000000.0
120,9,ARM,3550000000.0
121,81,GBR,3975000000.0
122,24,BHR,12900000000.0
123,222,TTO,9240000000.0
124,141,MLI,5100000000.0
125,102,HUN,92700000000.0
126,243,YEM,16600000000.000002
127,191,SEN,9590000000.0
128,45,CMR,15000000000.0
129,109,ISL,8580000000.0
130,225,TUV,23400000.0
131,1,AFG,16385000000.0
132,135,MDA,4510000000.0
133,64,DNK,265000000000.0
134,179,PRT,187000000000.0
135,50,COM,590000000.0
136,99,HND,9160000000.0
137,115,KAZ,59400000000.0
138,157,NER,4420000000.0
139,38,CAF,1380000000.0
140,88,GNB,811000000.0
141,74,FIN,169000000000.0
142,188,SAU,359000000000.0
143,248,ZWE,17000000000.0
144,17,BDI,1450000000.0
145,221,TON,310000000.0
146,195,SLB,714000000.0
147,68,EGY,109000000000.0
148,18,BEL,357000000000.0
149,49,COL,188000000000.0
150,25,BHS,7890000000.0
151,100,HRV,42200000000.0
152,57,CYM,24350000000.0
153,118,KHM,3860000000.0
154,32,BRA,7805000000.0
155,136,MDG,6560000000.0
156,217,TJK,2150000000.0
157,62,DJI,48904666666.66667
158,112,JAM,12600000000.0
159,227,UGA,10600000000.0
160,54,CUB,33400000000.0
161,180,PRY,18900000000.0
162,196,SLE,1380000000.0
163,42,CHL,123000000000.0
164,162,NLD,619000000000.0
165,66,DZA,97000000000.0
166,58,CYP,15300000000.0
167,175,PLW,63250000000.0
168,153,MYS,141000000000.0
169,101,HTI,8950000000.0
170,108,IRQ,52100000000.0
